NHSWEID,SOURCE,ORIGID,CN,STANAME,LAT,LON,ELEV,START,END,VALIDYEARS,rhonull,rhomax,Tbarstar,VP_DJF,meanmaxHS,meanpeakSWE,meanmaxSCD
10001,ECA&D,1,SE,VAEXJOE,56.86667,14.8,166,19490901,20190430,65,147,378,0.5002,0.46,0.25,49,51
10002,ECA&D,2,SE,FALUN,60.61667,15.61667,160,19490901,20220831,73,128,363,0.2402,0.37,0.42,90,96
10003,ECA&D,3,SE,STENSELE,65.06667,17.16639,325,19490901,20040430,54,103,348,-0.1006,0.2467,0.75,167,175
10004,ECA&D,4,SE,LINKOEPING,58.4,15.53306,93,19490901,20220831,73,146,376,0.4608,0.4567,0.27,51,48
10005,ECA&D,5,SE,LINKOEPING-MALMSLAETT,58.4,15.53306,93,19490901,20220831,73,146,376,0.4608,0.4567,0.26,54,45
10006,ECA&D,6,SE,KARLSTAD,59.35,13.46667,46,19491030,20220831,47,142,376,0.4184,0.44,0.35,72,65
10007,ECA&D,7,SE,KARLSTAD-AIRPORT,59.44444,13.3375,107,19490901,19971215,49,138,365,0.3119,0.42,0.32,63,58
10008,ECA&D,8,SE,OESTERSUND,63.18306,14.48306,376,19490901,20111204,63,119,355,0.0924,0.3267,0.52,114,135
10009,ECA&D,10,SE,STOCKHOLM,59.35,18.05,44,19491215,20220831,73,150,374,0.4562,0.4767,0.23,44,49
10010,ECA&D,48,DE,HOHENPEISSENBERG,47.80167,11.01167,977,19490901,20220831,73,149,397,0.5959,0.47,0.49,120,64
10011,ECA&D,58,DE,ZUGSPITZE,47.42194,10.98667,2964,19490901,20220831,59,96,432,-0.6977,0.2133,3.91,1365,275
10012,ECA&D,74,RU,ELAT'MA,54.95,41.76667,132,19490901,20081222,60,105,358,0.1929,0.26,0.4,74,127
10013,ECA&D,75,RU,XOSEDA-XARD,67.08305,59.38306,82,19490901,20081101,59,76,318,-0.4442,0.1167,0.72,149,215
10014,ECA&D,77,RU,KALININGRAD,54.7,20.61667,20,19490901,20081231,60,151,383,0.5676,0.4833,0.22,42,42
10015,ECA&D,79,RU,KEM'-PORT,64.98306,34.81639,7,19490901,20081119,56,103,337,-0.0584,0.2467,0.41,79,159
10016,ECA&D,88,RU,NAR'YAN-MAR,67.63306,53.03305,10,19490901,20081031,58,83,320,-0.3745,0.15,0.63,124,205
10017,ECA&D,93,RU,PETROPAVLOVSK,54.83306,69.15,142,19490901,20081205,52,83,341,-0.0076,0.15,0.41,72,134
10018,ECA&D,95,RU,PSKOV,57.81667,28.33306,43,19490901,20081217,60,122,364,0.2988,0.34,0.31,57,89
10019,ECA&D,96,RU,SARATOV,51.56667,45.03305,151,19490901,20061222,53,103,361,0.2068,0.2467,0.44,83,112
10020,ECA&D,97,RU,SMOLENSK,54.75,32.06667,236,19490901,20081208,60,116,362,0.2472,0.3133,0.38,73,119
10021,ECA&D,103,RU,VELIKIE LUKI,56.35,30.61667,97,19490901,20081222,60,120,360,0.2777,0.33,0.26,44,87
10022,ECA&D,178,NO,BARKESTAD,68.81667,14.8,3,19490901,20080108,58,143,383,0.3901,0.4433,0.57,137,96
10023,ECA&D,179,NO,BJOERNOEYA,74.51667,19.01667,16,19491014,20151214,9,117,309,-0.6156,0.3167,0.47,85,170
10024,ECA&D,180,NO,LIEN I SELBU,63.20889,11.11556,255,19490901,20100831,61,126,365,0.1722,0.36,0.59,138,104
